[  3]  7.0- 8.0 sec  37.0 MBytes   310 Mbits/sec
[  3]  8.0- 9.0 sec  35.5 MBytes   298 Mbits/sec
[  3]  0.0- 1.0 sec  35.1 MBytes   295 Mbits/sec
[  3]  1.0- 2.0 sec  36.2 MBytes   304 Mbits/sec
[  3]  2.0- 3.0 sec  37.0 MBytes   310 Mbits/sec
[  3]  3.0- 4.0 sec  36.5 MBytes   306 Mbits/sec
[  3]  4.0- 5.0 sec  36.5 MBytes   306 Mbits/sec
[  3]  5.0- 6.0 sec  33.9 MBytes   284 Mbits/sec
[  3]  6.0- 7.0 sec  35.5 MBytes   298 Mbits/sec
[  3]  7.0- 8.0 sec  34.5 MBytes   289 Mbits/sec
[  3]  8.0- 9.0 sec  33.0 MBytes   277 Mbits/sec
[  3]  0.0- 1.0 sec  32.0 MBytes   268 Mbits/sec
[  3]  1.0- 2.0 sec  35.2 MBytes   296 Mbits/sec
[  3]  2.0- 3.0 sec  34.8 MBytes   292 Mbits/sec
[  3]  3.0- 4.0 sec  33.4 MBytes   280 Mbits/sec
[  3]  4.0- 5.0 sec  34.6 MBytes   290 Mbits/sec
[  3]  5.0- 6.0 sec  34.6 MBytes   290 Mbits/sec
[  3]  6.0- 7.0 sec  36.1 MBytes   303 Mbits/sec
[  3]  7.0- 8.0 sec  35.9 MBytes   301 Mbits/sec
[  3]  8.0- 9.0 sec  34.1 MBytes   286 Mbits/sec
[  3]  0.0- 1.0 sec  30.1 MBytes   253 Mbits/sec
[  3]  1.0- 2.0 sec  36.8 MBytes   308 Mbits/sec
[  3]  2.0- 3.0 sec  36.4 MBytes   305 Mbits/sec
[  3]  3.0- 4.0 sec  36.8 MBytes   308 Mbits/sec
[  3]  4.0- 5.0 sec  32.6 MBytes   274 Mbits/sec
[  3]  5.0- 6.0 sec  35.0 MBytes   294 Mbits/sec
[  3]  6.0- 7.0 sec  35.4 MBytes   297 Mbits/sec
[  3]  7.0- 8.0 sec  35.1 MBytes   295 Mbits/sec
[  3]  8.0- 9.0 sec  32.1 MBytes   269 Mbits/sec
[  3]  0.0- 1.0 sec  34.4 MBytes   288 Mbits/sec
